timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x_ins,y_ins,theta_ins
23562953,19,19,1,15,-107,-109,0.0,0.1450381679389313,0.1450381679389313,0.007633587786259542,0.008978256225585938,-0.06404489440917968,-0.0652419952392578,0.0,-0.0,0.0
23572907,8,4,-14,75,-199,-69,9954.0,0.061068702290076333,0.030534351145038167,-0.10687022900763359,0.044891281127929686,-0.11911153259277343,-0.04129997863769531,0.004447704003939776,-0.011801905269949146,-1.856657276648258e-05
23582908,18,12,-23,-21,-255,39,10001.0,0.13740458015267176,0.0916030534351145,-0.17557251908396945,-0.012569558715820313,-0.15263035583496093,0.023343466186523436,0.007658450259337875,-0.03892556228504444,-4.9212822425375065e-05
23592908,-11,22,-13,27,-267,-25,10000.0,-0.08396946564885496,0.16793893129770993,-0.09923664122137404,0.016160861206054686,-0.15981296081542967,-0.014963760375976562,0.01248389830753039,-0.08202791077468889,-6.65328837047081e-05
23602924,-5,-33,-44,11,-159,-109,10016.0,-0.03816793893129771,-0.25190839694656486,-0.33587786259541985,0.006584054565429687,-0.09516951599121093,-0.0652419952392578,0.017976385306353964,-0.1347467358830076,-0.00012524842436660957
23612904,-3,-5,-15,43,-143,-61,9980.0,-0.022900763358778626,-0.03816793893129771,-0.11450381679389313,0.025737667846679687,-0.08559270935058594,-0.03651157531738281,0.026011375142335598,-0.19580151659483602,-0.0001451931410859646
23622916,21,-14,-4,47,-163,-33,10012.0,0.16030534351145037,-0.10687022900763359,-0.030534351145038167,0.028131869506835935,-0.09756371765136718,-0.01975216369628906,0.03689059894960685,-0.26683228961689637,-0.00015052878580992408
23632942,5,5,-43,75,-183,-133,10026.0,0.03816793893129771,0.03816793893129771,-0.3282442748091603,0.044891281127929686,-0.10953472595214843,-0.0796072052001953,0.05229524741941476,-0.3489738294448524,-0.00020796717179933565
23642984,2,9,-22,71,-171,-125,10042.0,0.015267175572519083,0.06870229007633588,-0.16793893129770993,0.04249707946777344,-0.10235212097167969,-0.07481880187988281,0.07200750944252096,-0.4415688404289207,-0.00023740115039991543
23652912,-9,-14,-17,107,-243,-21,9928.0,-0.06870229007633588,-0.10687022900763359,-0.1297709923664122,0.06404489440917968,-0.14544775085449219,-0.012569558715820313,0.0978048623752695,-0.5474504075997731,-0.0002598873862651517
23662963,14,-14,-1,83,-227,7,10051.0,0.10687022900763359,-0.10687022900763359,-0.007633587786259542,0.04967968444824218,-0.13587094421386717,0.004189852905273437,0.12893700909549866,-0.6683711096739161,-0.00026122649346452535
23673011,-6,0,-8,83,-187,-25,10048.0,-0.04580152671755725,0.0,-0.061068702290076333,0.04967968444824218,-0.11192892761230468,-0.014963760375976562,0.16507256573832027,-0.8005576855761596,-0.00027193615350974004
23682909,-6,0,-8,83,-187,-25,9898.0,-0.04580152671755725,0.0,-0.061068702290076333,0.04967968444824218,-0.11192892761230468,-0.014963760375976562,0.2055327192623044,-0.9417380315260583,-0.0002824859360662224
23692908,8,10,8,39,-127,67,9999.0,0.061068702290076333,0.07633587786259542,0.061068702290076333,0.023343466186523436,-0.07601590270996093,0.040102877807617184,0.2487375452665323,-1.0919596974141623,-0.0002718285026673269
23702922,-3,13,-22,55,-147,-129,10014.0,-0.022900763358778626,0.09923664122137404,-0.16793893129770993,0.032920272827148434,-0.08798691101074219,-0.07721300354003906,0.295305778834355,-1.2512310568902543,-0.0003011804108236908
23712920,11,-8,-16,63,-215,103,9998.0,0.08396946564885496,-0.061068702290076333,-0.12213740458015267,0.037708676147460936,-0.12868833923339842,0.061650692749023434,0.3455648181672172,-1.423112840288409,-0.0003224931459216319
23722956,-16,52,-2,23,-187,-41,10036.0,-0.12213740458015267,0.3969465648854962,-0.015267175572519083,0.013766659545898436,-0.11192892761230468,-0.02454056701660156,0.39739780995641505,-1.6069219820484526,-0.0003251673633831609
23732952,24,0,-4,39,-231,-17,9996.0,0.183206106870229,0.0,-0.030534351145038167,0.023343466186523436,-0.13826514587402344,-0.010175357055664061,0.4513521269518772,-1.803814750303672,-0.00033049448130772135
23742915,-41,4,1,55,-203,603,9963.0,-0.31297709923664124,0.030534351145038167,0.007633587786259542,0.032920272827148434,-0.12150573425292968,0.36092590026855464,0.5083920645978321,-2.0121194129141333,-0.0003291670984575214
23752911,-451,-70,-1285,31,-367,1243,9996.0,-3.4427480916030535,-0.5343511450381679,-9.80916030534351,0.018555062866210937,-0.21966800231933592,0.7439981658935546,0.5674301639455712,-2.2430670015051515,-0.0020405037317225505
23762906,-160,-497,-5327,5939,-379,-1681,9995.0,-1.2213740458015268,-3.7938931297709924,-40.66412213740458,3.554790914916992,-0.22685060729980466,-1.006163247680664,0.9813642444550901,-2.499896641921293,-0.009134183304937137
23772973,-408,-61,-7749,5611,365,-769,10067.0,-3.114503816793893,-0.46564885496183206,-59.152671755725194,3.3584663787841795,0.2184709014892578,-0.46028526916503903,1.7390096348589112,-2.74308575866564,-0.019527443535019486
23782890,93,1066,-140,-6293,1569,791,9917.0,0.7099236641221374,8.13740458015267,-1.0687022900763359,-3.7666777618408203,0.939125601196289,0.4734533782958984,2.116817434545004,-2.883007363154416,-0.01971241912485795
23792968,322,182,712,-10305,-151,3547,10078.0,2.4580152671755724,1.3893129770992367,5.435114503816794,-6.168062026977538,-0.09038111267089843,2.1230583221435544,1.8742309686122844,-3.0226290360391026,-0.01875641356153441
23802922,-441,-272,-2711,-1821,-319,-4201,9954.0,-3.366412213740458,-2.0763358778625953,-20.69465648854962,-1.0899603057861327,-0.19093758239746092,-2.5145102935791015,1.5262378707419666,-3.17703289050249,-0.022351697759386856
23812937,765,802,-886,-10813,1529,4903,10015.0,5.8396946564885495,6.122137404580153,-6.763358778625954,-6.472125637817382,0.9151835845947265,2.934692684936523,0.5292963551859413,-3.2253395076410265,-0.02353389719438142
23822989,246,-246,-746,-225,-623,-1765,10052.0,1.8778625954198473,-1.8778625954198473,-5.694656488549619,-0.13467384338378904,-0.37289690856933594,-1.0564414825439452,-0.48585630679803987,-3.311157958868925,-0.02453297055561967
23832926,815,873,1136,-9373,-891,211,9937.0,6.221374045801527,6.66412213740458,8.67175572519084,-5.610213040161132,-0.5333084197998047,0.12629413757324218,-2.0444355409310133,-3.4358852748727644,-0.023028998755715176
23842941,-620,210,-1562,-5373,869,-173,10015.0,-4.732824427480916,1.6030534351145038,-11.923664122137405,-3.2160113800048826,0.5201403106689453,-0.10354922180175781,-3.936403698341037,-3.5013380647445014,-0.025113192342014846
23852945,-114,-183,-1351,-5245,-1379,451,10004.0,-0.8702290076335878,-1.3969465648854962,-10.312977099236642,-3.1393969268798827,-0.8254010223388671,0.2699462371826172,-6.142593898751515,-3.6408401246480864,-0.026913866384283638
23862942,576,-1141,-881,-4701,105,-2565,9997.0,4.396946564885496,-8.709923664122137,-6.7251908396946565,-2.8137855010986326,0.06284779357910156,-1.5352818145751952,-8.628162823293465,-3.766068661571991,-0.028087281483891044
23873028,-187,-746,-699,-8781,-571,995,10086.0,-1.4274809160305344,-5.694656488549619,-5.33587786259542,-5.255871194458008,-0.34177228698730466,0.5955576629638671,-11.671309859345683,-3.9116476789779293,-0.029026576918554765
23882908,-371,-1245,-1157,-6645,-2779,-345,9880.0,-2.83206106870229,-9.50381679389313,-8.83206106870229,-3.97736750793457,-1.6633716033935546,-0.20649989318847656,-15.045329310368228,-4.204687625888517,-0.03054956454696908
23892905,-569,270,-744,-581,-107,-1737,9997.0,-4.343511450381679,2.0610687022900764,-5.679389312977099,-0.3477577911376953,-0.06404489440917968,-1.0396820709228516,-18.49424373213588,-4.5064992406134,-0.031540507604980325
