timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2
24132949,30,6,-21,-156,-65,40,9973.0,0.22900763358778625,0.04580152671755725,-0.16030534351145037,-0.09337386474609374,-0.03890577697753906,0.023942016601562498
24143006,-8,-5,13,-116,-29,-108,10057.0,-0.061068702290076333,-0.03816793893129771,0.09923664122137404,-0.06943184814453125,-0.017357962036132813,-0.06464344482421874
24152902,-8,-7,21,-36,-5,-4,9896.0,-0.061068702290076333,-0.05343511450381679,0.16030534351145037,-0.02154781494140625,-0.002992752075195312,-0.00239420166015625
24162973,-21,-26,-376,-108,15,-656,10071.0,-0.16030534351145037,-0.1984732824427481,-2.8702290076335877,-0.06464344482421874,0.008978256225585938,-0.39264907226562495
24173247,969,918,158,-5420,259,-1076,10274.0,7.396946564885496,7.00763358778626,1.2061068702290076,-3.2441432495117186,0.15502455749511718,-0.6440402465820312
24182948,-491,-468,-259,20,-341,564,9701.0,-3.7480916030534353,-3.572519083969466,-1.9770992366412214,0.011971008300781249,-0.2041056915283203,0.33758243408203126
24192951,-34,-333,-227,1740,-477,-4020,10003.0,-0.2595419847328244,-2.5419847328244276,-1.7328244274809161,1.0414777221679687,-0.2855085479736328,-2.4061726684570313
24202966,1004,2263,415,-14564,1615,-1036,10015.0,7.66412213740458,17.27480916030534,3.16793893129771,-8.717288244628906,0.9666589202880859,-0.6200982299804687
24212936,-1771,-858,-7052,-5704,687,-4296,9970.0,-13.51908396946565,-6.549618320610687,-53.83206106870229,-3.414131567382812,0.4112041351318359,-2.5713725830078125
24222919,-127,-2021,-5898,2664,1363,6888,9983.0,-0.9694656488549618,-15.427480916030534,-45.02290076335878,1.5945383056640625,0.8158242156982422,4.122815258789062
24232909,-127,-2021,-5898,2664,1363,6888,9990.0,-0.9694656488549618,-15.427480916030534,-45.02290076335878,1.5945383056640625,0.8158242156982422,4.122815258789062
24242967,3102,307,464,-8472,-4393,-4632,10058.0,23.6793893129771,2.3435114503816794,3.5419847328244276,-5.070919116210937,-2.6294319732666014,-2.7724855224609373
24252945,495,1015,-1508,-2708,287,6184,9978.0,3.7786259541984735,7.748091603053435,-11.511450381679388,-1.6208745239257811,0.17178396911621094,3.7014357666015623
24262969,-714,-4345,-3808,980,2787,6876,10024.0,-5.450381679389313,-33.16793893129771,-29.068702290076335,0.5865794067382812,1.668160006713867,4.115632653808594
24272910,4857,767,6052,8560,2731,2956,9941.0,37.0763358778626,5.854961832061068,46.19847328244275,5.123591552734375,1.6346411834716796,1.7693150268554687
24283003,2078,25,5058,-1240,-3741,-2508,10093.0,15.86259541984733,0.19083969465648856,38.61068702290076,-0.7422025146484375,-2.2391771026611327,-1.5011644409179687
24292915,244,-977,126,-4540,-1977,2404,9912.0,1.8625954198473282,-7.458015267175573,0.9618320610687023,-2.7174188842773437,-1.1833341705322264,1.438915197753906
24302947,277,-1963,3590,16,-2113,-104,10032.0,2.114503816793893,-14.98473282442748,27.404580152671755,0.009576806640625,-1.264737026977539,-0.062249243164062495
24313050,-734,2005,5059,-3488,599,-1800,10103.0,-5.603053435114504,15.305343511450381,38.61832061068702,-2.0877438476562498,0.3585316986083984,-1.0773907470703123
24323015,-453,-203,2502,-3924,-1177,-1192,9965.0,-3.4580152671755724,-1.549618320610687,19.099236641221374,-2.3487118286132813,-0.7044938385009765,-0.7134720947265625
24332945,-7,-518,1866,-6704,-3469,-868,9930.0,-0.05343511450381679,-3.954198473282443,14.244274809160306,-4.012681982421875,-2.076371389770508,-0.5195417602539062
24342914,-1243,-1262,1938,1016,619,-1316,9969.0,-9.488549618320612,-9.633587786259541,14.793893129770993,0.6081272216796875,0.3705027069091797,-0.7876923461914062
24352943,-354,187,-1190,-340,-529,-48,10029.0,-2.7022900763358777,1.4274809160305344,-9.083969465648854,-0.20350714111328125,-0.31663316955566406,-0.028730419921875
24362930,-1154,-1552,-3536,-2544,-1465,2424,9987.0,-8.80916030534351,-11.84732824427481,-26.99236641221374,-1.5227122558593749,-0.8768763580322265,1.4508862060546874
24372960,-215,406,-4143,-1832,-1077,-376,10030.0,-1.6412213740458015,3.099236641221374,-31.625954198473284,-1.0965443603515623,-0.6446387969970703,-0.22505495605468748
24382897,1588,883,-4222,-1296,1279,-1272,9937.0,12.122137404580153,6.740458015267175,-32.229007633587784,-0.7757213378906249,0.7655459808349608,-0.7613561279296874
24392942,-1111,-729,-2765,-208,3607,3220,10045.0,-8.48091603053435,-5.564885496183206,-21.106870229007633,-0.12449848632812499,2.1589713470458984,1.927332336425781
24402945,682,506,-375,-5956,-1625,-960,10003.0,5.206106870229007,3.8625954198473282,-2.8625954198473282,-3.564966271972656,-0.9726444244384765,-0.5746083984375
24412911,518,169,80,-4408,927,-788,9966.0,3.954198473282443,1.2900763358778626,0.6106870229007634,-2.6384102294921874,0.5548562347412109,-0.47165772705078124
24422964,646,-142,1420,-3136,-109,-188,10053.0,4.931297709923665,-1.083969465648855,10.83969465648855,-1.8770541015625,-0.0652419952392578,-0.11252747802734374
24432967,373,273,668,-1324,-65,-2280,10003.0,2.8473282442748094,2.0839694656488548,5.099236641221374,-0.7924807495117187,-0.03890577697753906,-1.3646949462890625
24442898,-154,-425,96,-584,287,-120,9931.0,-1.1755725190839694,-3.2442748091603053,0.732824427480916,-0.3495534423828125,0.17178396911621094,-0.0718260498046875
24452908,-773,-1439,101,-1612,2347,3400,10010.0,-5.900763358778626,-10.98473282442748,0.7709923664122137,-0.9648632690429687,1.4047978240966796,2.0350714111328125
24462913,-1614,-450,-325,5632,371,956,10005.0,-12.320610687022901,-3.435114503816794,-2.480916030534351,3.3710359375,0.22206220397949217,0.5722141967773438
24472913,-330,116,224,-2832,-521,600,10000.0,-2.519083969465649,0.8854961832061069,1.7099236641221374,-1.695094775390625,-0.31184476623535157,0.3591302490234375
24482971,-330,116,224,-2832,-521,600,10058.0,-2.519083969465649,0.8854961832061069,1.7099236641221374,-1.695094775390625,-0.31184476623535157,0.3591302490234375
24492954,-40,61,-668,688,819,-752,9983.0,-0.3053435114503817,0.46564885496183206,-5.099236641221374,0.411802685546875,0.49021278991699213,-0.45010991210937495
24502929,-433,886,-581,1332,-1693,380,9975.0,-3.3053435114503817,6.763358778625954,-4.435114503816794,0.7972691528320313,-1.0133458526611328,0.22744915771484372
24513041,536,965,-537,-1876,-1165,-496,10112.0,4.091603053435114,7.366412213740458,-4.099236641221374,-1.1228805786132812,-0.6973112335205077,-0.296881005859375
24522958,-756,-421,-778,1948,-2577,436,9917.0,-5.770992366412214,-3.213740458015267,-5.938931297709924,1.1659762084960936,-1.542464419555664,0.2609679809570312
